match_number,date,home_team,away_team,group,venue,city
1,,Mexico,South Korea,A,,
2,,Mexico,Czech Republic,A,,
3,,Mexico,South Africa,A,,
4,,South Korea,Czech Republic,A,,
5,,South Korea,South Africa,A,,
6,,Czech Republic,South Africa,A,,
7,,Switzerland,Canada,B,,
8,,Switzerland,Qatar,B,,
9,,Switzerland,Bosnia-Herzegovina,B,,
10,,Canada,Qatar,B,,
11,,Canada,Bosnia-Herzegovina,B,,
12,,Qatar,Bosnia-Herzegovina,B,,
13,,Scotland,Morocco,C,,
14,,Scotland,Brazil,C,,
15,,Scotland,Haiti,C,,
16,,Morocco,Brazil,C,,
17,,Morocco,Haiti,C,,
18,,Brazil,Haiti,C,,
19,,United States,Australia,D,,
20,,United States,Turkey,D,,
21,,United States,Paraguay,D,,
22,,Australia,Turkey,D,,
23,,Australia,Paraguay,D,,
24,,Turkey,Paraguay,D,,
25,,Germany,Ecuador,E,,
26,,Germany,Ivory Coast,E,,
27,,Germany,Curaçao,E,,
28,,Ecuador,Ivory Coast,E,,
29,,Ecuador,Curaçao,E,,
30,,Ivory Coast,Curaçao,E,,
31,,Netherlands,Japan,F,,
32,,Netherlands,Sweden,F,,
33,,Netherlands,Tunisia,F,,
34,,Japan,Sweden,F,,
35,,Japan,Tunisia,F,,
36,,Sweden,Tunisia,F,,
37,,Belgium,Egypt,G,,
38,,Belgium,Iran,G,,
39,,Belgium,New Zealand,G,,
40,,Egypt,Iran,G,,
41,,Egypt,New Zealand,G,,
42,,Iran,New Zealand,G,,
43,,Spain,Cape Verde,H,,
44,,Spain,Saudi Arabia,H,,
45,,Spain,Uruguay,H,,
46,,Cape Verde,Saudi Arabia,H,,
47,,Cape Verde,Uruguay,H,,
48,,Saudi Arabia,Uruguay,H,,
49,,France,Senegal,I,,
50,,France,Iraq,I,,
51,,France,Norway,I,,
52,,Senegal,Iraq,I,,
53,,Senegal,Norway,I,,
54,,Iraq,Norway,I,,
55,,Argentina,Algeria,J,,
56,,Argentina,Austria,J,,
57,,Argentina,Jordan,J,,
58,,Algeria,Austria,J,,
59,,Algeria,Jordan,J,,
60,,Austria,Jordan,J,,
61,,Portugal,Congo DR,K,,
62,,Portugal,Uzbekistan,K,,
63,,Portugal,Colombia,K,,
64,,Congo DR,Uzbekistan,K,,
65,,Congo DR,Colombia,K,,
66,,Uzbekistan,Colombia,K,,
67,,England,Croatia,L,,
68,,England,Ghana,L,,
69,,England,Panama,L,,
70,,Croatia,Ghana,L,,
71,,Croatia,Panama,L,,
72,,Ghana,Panama,L,,
